,event_id,attendee_id,order_id,purchase_quad,purchase_type
0,1,342606,3786,2,2
1,1,342606,3786,3,2
2,1,342606,3786,4,0
3,1,342606,3786,1,0
4,1,342606,3786,3,0
5,1,342606,3786,3,1
6,1,87220,6405,3,0
7,1,87220,6405,3,0
8,1,87220,6405,3,0
9,1,180221,7174,3,0
10,1,180221,7174,2,0
11,1,180221,7174,4,1
12,1,209944,6212,2,0
13,1,209944,6212,3,0
14,1,209944,6212,2,0
15,1,46327,2398,3,0
16,1,46327,2398,3,0
17,1,46327,2398,3,0
18,1,369717,2345,3,1
19,1,369717,2345,2,0
20,1,369717,2345,3,0
21,1,128619,925,3,0
22,1,128619,925,2,0
23,1,128619,925,1,1
24,1,5182,2666,3,0
25,1,5182,2666,3,1
26,1,5182,2666,4,1
27,1,5182,2666,1,0
28,1,5182,2666,2,0
29,1,5182,2666,3,0
30,1,343645,7335,3,0
31,1,343645,7335,2,0
32,1,343645,7335,1,1
33,1,343645,7335,3,1
34,1,343645,7335,2,0
35,1,343645,7335,3,0
36,1,405730,3580,2,1
37,1,405730,3580,2,1
38,1,405730,3580,2,2
39,1,4018,2501,3,0
40,1,4018,2501,3,1
41,1,4018,2501,2,1
42,1,44353,5355,3,0
43,1,44353,5355,2,0
44,1,44353,5355,2,1
45,1,44353,5355,3,0
46,1,44353,5355,3,0
47,1,44353,5355,3,0
48,1,70924,3145,1,2
49,1,70924,3145,2,0
50,1,70924,3145,2,1
51,1,11385,3915,3,0
52,1,11385,3915,3,1
53,1,11385,3915,1,1
54,1,11385,3915,2,1
55,1,11385,3915,3,0
56,1,11385,3915,3,0
57,1,11385,3915,4,0
58,1,11385,3915,2,1
59,1,11385,3915,2,2
60,1,11385,3915,3,2
61,1,11385,3915,3,0
62,1,11385,3915,4,0
63,1,11385,3915,2,0
64,1,11385,3915,1,0
65,1,11385,3915,2,0
66,1,40395,3349,3,0
67,1,40395,3349,3,0
68,1,40395,3349,3,1
69,1,40395,3349,2,0
70,1,40395,3349,1,1
71,1,40395,3349,3,1
72,1,40395,3349,3,0
73,1,40395,3349,2,0
74,1,40395,3349,3,0
75,1,40395,3349,3,0
76,1,40395,3349,2,0
77,1,40395,3349,3,0
78,1,249974,2073,2,0
79,1,249974,2073,2,1
80,1,249974,2073,4,0
81,1,277742,4882,3,0
82,1,277742,4882,4,1
83,1,277742,4882,3,0
84,1,46781,2460,2,1
85,1,46781,2460,3,0
86,1,46781,2460,3,1
87,1,46781,2460,3,1
88,1,46781,2460,2,0
89,1,46781,2460,2,0
90,1,46781,2460,2,0
91,1,46781,2460,3,0
92,1,46781,2460,2,1
93,1,46781,2460,2,0
